Scientific name,Number of occurrences
Abantiades atripalpis,28
Abantiades argyrosticha,10
Abantiades argentata,3
Acacia verniciflua x paradoxa,1
Acalolepta antenor fasciata,4
Acalypha chamaedrifolia,1
Accipiter poliocephalus,0
Acentrogobius nebulosus,3
Acetabularia peniculus,1
Achaea gravata,0
Acrocephalus stentoreus,0
Actinopyga varians,3
Aedia acronyctoides,13
Aerodramus spodiopygius,19
Agapornis roseicollis,1
Agave americana marginata,2
Agave palmeri,1
Agrotera amathealis,29
Aix galericulata,5
Aloe vera chinensis,1
Alpinia nutans,2
Ambigolimax nyctelius,1
Ambigolimax valentianus,1
Amerila astreus,2
Anas superciliosa Ã— platyrhynchos,24
Anemonia manjano,1
Anous ceruleus,0
Anous albivitta,1
Anser cygnoides domesticus,1
Anthela directa,4
Anthomyia illocata,5
Antigone antigone,135
Antigone rubicunda,117
Aphrodroma brevirostris,0
Apis mellifera ligustica,1
Apium prostratum,16
Ara ararauna,5
Arbacia lixula,1
Archaerta dorsivittella,1
Ardeadoris averni,6
Ardices glatignyi,3
Argina astrea,6
Argonemertes hillii,0
Argonemertes stocki,0
Argonemertes australiensis,5
Armina japonica,1
Arripis truttacea,13
Asparagus densiflorus,3
Astrobunus laevipes,0
Ataboruza divisa,8
Ataboruza stragulata,4
Atasthalistis ochreoviridella,2
Attenborougharion rubicundus,1
Attheyella dedeckkeri,0
Attheyella echinopyge,0
Attheyella longipes,0
Attheyella mammillifurca,0
Australopacifica coxii,0
Austrocoenagrion lyelli,18
Austropurcellia alata,0
Austropurcellia culminis,0
Austropurcellia despectata,0
Austropurcellia vicina,0
Balaenoptera omurai,0
Balta st1,1
Bassiana platynota,6
Bassiana duperreyi,8
Bastilla frontinus,0
Bastilla hamatilis,26
Bastilla solomonensis,29
Bermius odontocercus,11
Bismarckia nobilis,4
Boarmia curtaria,21
Bourreria petiolaris,0
Brachyacma palpigera,5
Branchellion borealis,4
Brugmansia arborea,2
Bursatella leachii pleii,1
Caesalpinia sclerocarpa,1
Cairina moschata,116
Cairina moschata domestica,102
Caladenia cardiochila,13
Caladenia dilatata,12
Calathea zebrina,2
Calathea crotalifera,1
Calidris falcinellus,3
Calliandra californica,2
Campanella junghuhnii,2
Capua vacuana,14
Carcharodus baeticus,0
Carijoa riisei,2
Carmenta chrysophanes,1
Carterornis chrysomela,0
Caulerpa filiformis,13
Cavia porcellus,1
Centropus bernsteini,0
Centropus menbeki,0
Cethosia biblis,0
Ceyx lepidus,0
Chaetodon pelewensis Ã— punctofasciatus,1
Chalcophaps stephani,0
Chalcopsitta scintillata,0
Charmosyna placentis,0
Cheilomenes sexmaculata,5
Chiruromys vates,0
Chlamydera nuchalis,92
Chlamydera nuchalis orientalis,2
